Final Portfolio Value,Total Return (%),Sharpe Ratio,Ticker
10885.89,8.86,0.19,AAPL
2028.14,-79.72,-0.63,ABBV
2042.0,-79.58,-0.7,ABT
4444.64,-55.55,-0.24,ACN
1617.83,-83.82,-0.46,ADBE
7051.46,-29.49,0.05,AIG
3573.63,-64.26,0.04,AMD
2140.87,-78.59,-0.65,AMGN
5537.88,-44.62,-0.13,AMT
2475.11,-75.25,-0.34,AMZN
12177.22,21.77,0.27,AVGO
3506.87,-64.93,-0.22,AXP
841.94,-91.58,-0.47,BA
5385.08,-46.15,-0.08,BAC
6993.46,-30.07,-0.01,BK
1889.22,-81.11,-0.46,BKNG
3352.97,-66.47,-0.33,BLK
5090.77,-49.09,-0.22,BMY
7466.42,-25.34,-0.07,BRK-B
5358.79,-46.41,-0.05,C
5770.81,-42.29,-0.06,CAT
6477.47,-35.23,-0.17,CL
7417.82,-25.82,-0.0,CMCSA
7970.94,-20.29,0.13,COF
2424.3,-75.76,-0.26,COP
7055.11,-29.45,-0.08,COST
10391.33,3.91,0.2,CRM
9030.41,-9.7,0.08,CSCO
5768.43,-42.32,-0.09,CVS
1553.39,-84.47,-0.6,CVX
1984.43,-80.16,-0.5,DE
2070.1,-79.3,-0.6,DHR
16594.24,65.94,0.36,DIS
3511.09,-64.89,-0.5,DUK
5207.02,-47.93,-0.12,EMR
15339.44,53.39,0.33,FDX
6631.87,-33.68,-0.1,GD
22878.3,128.78,0.47,GE
7476.36,-25.24,-0.01,GILD
4517.67,-54.82,-0.06,GM
12591.84,25.92,0.25,GOOG
11739.87,17.4,0.22,GOOGL
6349.23,-36.51,-0.03,GS
5360.37,-46.4,-0.17,HD
5088.92,-49.11,-0.22,HON
3427.45,-65.73,-0.39,IBM
807.71,-91.92,-0.52,INTC
5107.53,-48.92,-0.08,INTU
4074.84,-59.25,-0.16,ISRG
4989.03,-50.11,-0.35,JNJ
10595.92,5.96,0.17,JPM
5062.19,-49.38,-0.35,KO
4933.95,-50.66,-0.25,LIN
11719.18,17.19,0.22,LLY
8031.95,-19.68,0.01,LMT
7346.91,-26.53,0.02,LOW
4455.01,-55.45,-0.21,MA
13350.38,33.5,0.28,MCD
5195.83,-48.04,-0.29,MDLZ
5699.07,-43.01,-0.17,MDT
2402.4,-75.98,-0.41,MET
43565.84,335.66,0.66,META
3123.46,-68.77,-0.38,MMM
12837.93,28.38,0.25,MO
4689.7,-53.1,-0.3,MRK
8073.0,-19.27,0.08,MS
5322.75,-46.77,-0.14,MSFT
7283.28,-27.17,-0.01,NEE
5855.36,-41.45,0.05,NFLX
7898.21,-21.02,0.08,NKE
3867.45,-61.33,-0.09,NOW
9811.31,-1.89,0.25,NVDA
943.95,-90.56,-0.67,ORCL
3648.33,-63.52,-0.51,PEP
3432.31,-65.68,-0.41,PFE
6706.88,-32.93,-0.15,PG
8498.08,-15.02,0.31,PLTR
5118.24,-48.82,-0.21,PM
4573.0,-54.27,-0.04,PYPL
8527.25,-14.73,0.15,QCOM
2876.87,-71.23,-0.38,RTX
9891.51,-1.08,0.15,SBUX
5386.49,-46.14,-0.05,SCHW
6942.59,-30.57,-0.08,SO
13851.8,38.52,0.31,SPG
10776.31,7.76,0.16,T
5192.15,-48.08,-0.07,TGT
3543.75,-64.56,-0.34,TMO
8363.36,-16.37,0.05,TMUS
4175.83,-58.24,0.15,TSLA
1983.47,-80.17,-0.48,TXN
1842.95,-81.57,-0.24,UBER
1728.6,-82.71,-0.56,UNH
3309.13,-66.91,-0.4,UNP
4297.62,-57.02,-0.22,UPS
4927.53,-50.72,-0.11,USB
5383.27,-46.17,-0.17,V
2156.8,-78.43,-0.85,VZ
4645.73,-53.54,-0.11,WFC
3606.66,-63.93,-0.47,WMT
4361.35,-56.39,-0.2,XOM
