Ticker,Total Return,Volatility
AAPL,2.2782446263530813,0.019559349189956915
ABBV,1.421765642839247,0.01687994216351105
ABT,1.1201957589705684,0.015486829072799089
ACN,0.894984797297457,0.01719696309870247
ADBE,1.1638087870023934,0.02275042419582456
AIG,0.9731408940693693,0.022148075514218622
AMD,4.32567815898491,0.03472523417880059
AMGN,1.0091405048638133,0.015973900374392006
AMT,0.7305044066141335,0.01739289490376419
AMZN,1.8795331536184259,0.02177248513674816
AVGO,3.519415658976498,0.025884563416365376
AXP,1.8556286610541624,0.021595262647846725
BA,0.46188675803636536,0.02855379659455996
BAC,1.1718041062264264,0.020380036118201286
BK,1.241550074085613,0.018134625890664273
BKNG,1.5022230960190053,0.021207581728801876
BLK,1.288043319810976,0.01852690759681531
BMY,0.24136342148367707,0.015643409472766538
BRK-B,1.0546769864551213,0.013141997321071816
C,1.0590186089357103,0.022236904449973678
CAT,1.873997347919524,0.020064393072433063
CL,0.3753076605833304,0.012745774076463868
CMCSA,0.10304487179137511,0.017215662794518787
COF,1.5467894493149803,0.02505053294768103
COP,1.344902190283607,0.025055530928950583
COST,1.8917367984559887,0.01438864884821551
CRM,1.456753468597904,0.023274180977126146
CSCO,1.146369919193777,0.016670552604184014
CVS,0.6706581878675575,0.01891999312109132
CVX,0.937816389448937,0.019857728819972865
DE,1.5796582483939354,0.019910579984848152
DHR,1.2912086759380466,0.017140512567866282
DIS,0.4224740863038201,0.019449204114259978
DUK,0.906106857959439,0.013761001110194182
EMR,1.228166916054467,0.019092242034225885
FDX,0.6106780235195676,0.02224202076061504
GD,0.948496070651769,0.01507273259030938
GE,1.928390651429599,0.024534292213281458
GILD,1.0383774020381222,0.016411283111474332
GM,1.2357394599452753,0.024838013733914376
GOOG,2.0466491294367497,0.01946235521768406
GOOGL,2.038893229657763,0.019516085267539694
GS,1.6766067303872991,0.019598099051614484
HD,1.1640540999699853,0.016576106174494152
HON,0.7770613923382437,0.015806299750612242
IBM,1.3495564976565628,0.016569841209131755
INTC,0.7645092449829626,0.02751097256497602
INTU,1.9530526287733516,0.02166477671722895
ISRG,1.9197945012453244,0.021826850762990138
JNJ,0.6728494022989386,0.012360988931902324
JPM,1.6087769683436943,0.018361816881309518
KO,0.8041814058699469,0.012219347837909405
LIN,1.3393176908793314,0.01535530251144374
LLY,2.822470068678048,0.019786301528823533
LMT,0.8852393139068757,0.015706544008753393
LOW,1.4741127847241602,0.019255296903436678
MA,1.6592465691406186,0.01816340652485265
MCD,0.9091999327110551,0.013657579331357974
MDLZ,0.6599413774115703,0.013266272846494887
MDT,0.5333510959747078,0.015307758144694966
MET,1.132932384741209,0.020105549457563578
META,1.9685530335048886,0.02628602320146599
MMM,0.42282760597873736,0.01795997095962555
MO,0.5791772384176531,0.015172813456274565
MRK,0.9235378015354033,0.014695382819248804
MS,1.8085881066466842,0.020790208447622766
MSFT,2.195667397399772,0.017956780173946914
NEE,1.225787705361034,0.017188387281837636
NFLX,2.467414819988574,0.027256726258832572
NKE,0.5543879372341349,0.021125697590886994
NOW,2.5985542289217207,0.025837721726495882
NVDA,4.755185753996084,0.03247185386158796
ORCL,2.320414065569568,0.02222260617952227
PEP,0.6195503390351069,0.013183819763769693
PFE,0.2535446727907591,0.01607648813791654
PG,0.8743286907567147,0.01260557456428477
PLTR,4.306096028496155,0.04490876366336536
PM,0.9896058874642006,0.01608156998217831
PYPL,0.5985712208626092,0.02580479281823932
QCOM,1.8375983385090324,0.025060792383707307
RTX,1.3283527520921494,0.018842847190229915
SBUX,0.8870696189409218,0.019747706492077324
SCHW,1.1980958614361117,0.02217805490662465
SO,1.2257390588181813,0.014819729188559163
SPG,1.0887103976961239,0.025583235008040668
T,0.6627935211716226,0.01570483749082034
TGT,0.9978490424131566,0.021764457648970677
TMO,1.394089267159504,0.017332946962658795
TMUS,1.491054274656077,0.016670897279341408
TSLA,4.6557239612035595,0.040322256995341664
TXN,1.0510797562138743,0.02020022562301356
UBER,1.6960101891819555,0.032681379714334435
UNH,0.9501909528912428,0.019822581597685806
UNP,0.9292779976485108,0.016703845707501944
UPS,0.37647134422901807,0.018487573641207303
USB,0.5836275009899352,0.020751718485362773
V,1.4078798530461276,0.016374407615007785
VZ,0.2997730606136293,0.01303860175192082
WFC,1.0391766758715428,0.021801455114539178
WMT,1.4434422789948982,0.013987567209716126
XOM,1.0137812473324477,0.01911992731890345
